"namespace","tripleCount"
"https://growgraph.dev/fca/appeal/fca--22-84--651","48"
"https://growgraph.dev/fca/appeal/fca--22-84--946","48"
"https://growgraph.dev/fca/appeal/fca--22-85--027","48"
"https://growgraph.dev/fca/appeal/fca--22-86--923","48"
"https://growgraph.dev/fca/appeal/fca--22-90--018","48"
"https://growgraph.dev/fca/appeal/fca--23-80--251","48"
"https://growgraph.dev/fca/appeal/fca--23-80--756","48"
"https://growgraph.dev/fca/appeal/fca--23-81--998","48"
"https://growgraph.dev/fca/appeal/fca--23-82--050","48"
"https://growgraph.dev/fca/appeal/fca--23-84--147","48"
"https://growgraph.dev/fca/appeal/fca--23-84--243","48"
"https://growgraph.dev/fca/appeal/fca--23-90--005","48"
"https://growgraph.dev/fca/appeal/fca--21-85--526","47"
"https://growgraph.dev/fca/appeal/fca--21-85--620","47"
"https://growgraph.dev/fca/appeal/fca--21-86--661","47"
"https://growgraph.dev/fca/appeal/fca--21-87--352","47"
"https://growgraph.dev/fca/appeal/fca--22-81--886","47"
"https://growgraph.dev/fca/appeal/fca--22-82--282","47"
"https://growgraph.dev/fca/appeal/fca--22-82--402","47"
"https://growgraph.dev/fca/appeal/fca--22-82--826","47"
"https://growgraph.dev/fca/appeal/fca--22-83--661","47"
"https://growgraph.dev/fca/appeal/fca--22-83--713","47"
"https://growgraph.dev/fca/appeal/fca--22-83--716","47"
"https://growgraph.dev/fca/appeal/fca--22-84--320","47"
"https://growgraph.dev/fca/appeal/fca--22-84--784","47"
"https://growgraph.dev/fca/appeal/fca--22-85--944","47"
"https://growgraph.dev/fca/appeal/fca--22-85--964","47"
"https://growgraph.dev/fca/appeal/fca--22-86--046","47"
"https://growgraph.dev/fca/appeal/fca--22-86--324","47"
"https://growgraph.dev/fca/appeal/fca--22-86--977","47"
"https://growgraph.dev/fca/appeal/fca--23-80--331","47"
"https://growgraph.dev/fca/appeal/fca--23-80--362","47"
"https://growgraph.dev/fca/appeal/fca--23-80--575","47"
"https://growgraph.dev/fca/appeal/fca--23-81--104","47"
"https://growgraph.dev/fca/appeal/fca--23-83--564","47"
